% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{llcllrrrllrrrllrrrllrrrll}
\multicolumn{25}{c}{\textbf{2009-2010 Award Year FFEL Volume by School}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \\
\multicolumn{25}{c}{Award Year Quarterly Activity  (07/01/2009-09/30/2009)}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          \\
\multicolumn{25}{c}{Data Run: 4/5/2012}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              \\
\multicolumn{1}{c}{}                                        & \multicolumn{1}{c}{}                                               &                & \multicolumn{1}{c}{}                                          & \multicolumn{1}{c}{}                                             & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     \\
00137100                                                    & UNIVERSITY OF DENVER                                               & CO             & 802082000                                                     & PRIVATE                                                          & 4,488                                                           & 4,600                                                                       & \$32,034,768.00                                                             & 4,604                                                                    & \$12,512,866.00                                                          & 4,448                                                           & 4,651                                                                       & \$41,022,784.00                                                             & 4,654                                                                    & \$15,976,560.00                                                          & 250                                                             & 257                                                                         & \$4,818,644.00                                                              & 259                                                                      & \$1,649,882.00                                                           & 1,287                                                           & 1,444                                                                       & \$28,018,953.00                                                             & 1,452                                                                    & \$12,002,520.00                                                          \\
00137200                                                    & WESTERN STATE COLLEGE OF COLORADO                                  & CO             & 812310000                                                     & PUBLIC                                                           & 631                                                             & 638                                                                         & \$2,488,570.00                                                              & 638                                                                      & \$1,255,530.00                                                           & 750                                                             & 790                                                                         & \$3,438,048.00                                                              & 790                                                                      & \$1,741,624.00                                                           & 169                                                             & 172                                                                         & \$1,539,900.00                                                              & 172                                                                      & \$772,017.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00450300                                                    & EVEREST COLLEGE                                                    & CO             & 809163548                                                     & PROPRIETARY                                                      & 268                                                             & 269                                                                         & \$936,027.00                                                                & 279                                                                      & \$419,178.00                                                             & 252                                                             & 431                                                                         & \$1,301,186.00                                                              & 440                                                                      & \$579,145.00                                                             & 3                                                               & 3                                                                           & \$20,188.00                                                                 & 3                                                                        & \$8,927.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00450600                                                    & COLORADO MOUNTAIN COLLEGE                                          & CO             & 816013307                                                     & PUBLIC                                                           & 437                                                             & 446                                                                         & \$1,495,853.00                                                              & 446                                                                      & \$760,229.00                                                             & 485                                                             & 528                                                                         & \$2,196,603.00                                                              & 528                                                                      & \$1,120,296.00                                                           & 105                                                             & 106                                                                         & \$957,387.00                                                                & 106                                                                      & \$500,841.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00450700                                                    & EVEREST COLLEGE                                                    & CO             & 802294339                                                     & PROPRIETARY                                                      & 519                                                             & 519                                                                         & \$1,794,705.00                                                              & 529                                                                      & \$794,242.00                                                             & 497                                                             & 737                                                                         & \$2,447,700.00                                                              & 749                                                                      & \$1,076,901.00                                                           & 13                                                              & 13                                                                          & \$75,396.00                                                                 & 13                                                                       & \$31,369.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00450900                                                    & UNIVERSITY OF COLORADO AT COLORADO SPRINGS                         & CO             & 809183735                                                     & PUBLIC                                                           & 2,395                                                           & 2,490                                                                       & \$10,127,237.00                                                             & 2,493                                                                    & \$6,180,312.00                                                           & 2,251                                                           & 2,391                                                                       & \$10,828,712.00                                                             & 2,399                                                                    & \$6,431,093.00                                                           & 226                                                             & 233                                                                         & \$2,706,442.00                                                              & 236                                                                      & \$1,395,417.00                                                           & 6                                                               & 8                                                                           & \$55,524.00                                                                 & 8                                                                        & \$34,223.00                                                              \\
00729700                                                    & REDSTONE COLLEGE                                                   & CO             & 800209988                                                     & PROPRIETARY                                                      & 141                                                             & 146                                                                         & \$456,313.00                                                                & 158                                                                      & \$237,795.00                                                             & 144                                                             & 149                                                                         & \$597,687.00                                                                & 160                                                                      & \$309,762.00                                                             & 26                                                              & 26                                                                          & \$257,933.00                                                                & 26                                                                       & \$122,571.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00754700                                                    & LINCOLN COLLEGE OF TECHNOLOGY                                      & CO             & 802393006                                                     & PROPRIETARY                                                      & 125                                                             & 126                                                                         & \$458,442.00                                                                & 132                                                                      & \$238,191.00                                                             & 118                                                             & 133                                                                         & \$434,080.00                                                                & 140                                                                      & \$223,175.00                                                             & 26                                                              & 28                                                                          & \$175,623.00                                                                & 28                                                                       & \$87,240.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00754800                                                    & WESTWOOD COLLEGE - DENVER NORTH                                    & CO             & 802213653                                                     & PROPRIETARY                                                      & 1,247                                                           & 1,248                                                                       & \$4,543,970.00                                                              & 1,255                                                                    & \$1,563,296.00                                                           & 1,255                                                           & 1,268                                                                       & \$6,225,383.00                                                              & 1,280                                                                    & \$2,168,964.00                                                           & 223                                                             & 230                                                                         & \$1,719,884.00                                                              & 233                                                                      & \$593,789.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00764900                                                    & ROCKY MOUNTAIN COLLEGE OF ART \& DESIGN                            & CO             & 802141433                                                     & PROPRIETARY                                                      & 353                                                             & 354                                                                         & \$1,498,778.00                                                              & 354                                                                      & \$760,378.00                                                             & 356                                                             & 382                                                                         & \$1,327,112.00                                                              & 382                                                                      & \$676,179.00                                                             & 126                                                             & 131                                                                         & \$1,940,381.00                                                              & 131                                                                      & \$979,010.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00793300                                                    & FRONT RANGE COMMUNITY COLLEGE                                      & CO             & 800312199                                                     & PUBLIC                                                           & 1                                                               & 1                                                                           & \$2,250.00                                                                  & 1                                                                        & \$2,250.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00887100                                                    & CONCORDE CAREER COLLEGE                                            & CO             & 800104314                                                     & PROPRIETARY                                                      & 49                                                              & 49                                                                          & \$164,668.00                                                                & 50                                                                       & \$72,907.00                                                              & 46                                                              & 46                                                                          & \$233,239.00                                                                & 47                                                                       & \$96,723.00                                                              & 9                                                               & 10                                                                          & \$72,244.00                                                                 & 10                                                                       & \$28,901.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00940100                                                    & COLORADO CHRISTIAN UNIVERSITY                                      & CO             & 802267449                                                     & PRIVATE                                                          & 966                                                             & 986                                                                         & \$4,269,943.00                                                              & 987                                                                      & \$1,950,051.00                                                           & 1,028                                                           & 1,067                                                                       & \$5,732,524.00                                                              & 1,068                                                                    & \$2,485,793.00                                                           & 150                                                             & 152                                                                         & \$1,899,895.00                                                              & 153                                                                      & \$1,045,987.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01014800                                                    & COLORADO TECHNICAL UNIVERSITY                                      & CO             & 809073896                                                     & PROPRIETARY                                                      & 10,669                                                          & 11,072                                                                      & \$40,507,832.00                                                             & 11,772                                                                   & \$16,429,432.00                                                          & 10,420                                                          & 10,795                                                                      & \$60,639,454.00                                                             & 11,499                                                                   & \$23,946,930.00                                                          & 41                                                              & 41                                                                          & \$250,616.00                                                                & 41                                                                       & \$88,317.00                                                              & 3                                                               & 3                                                                           & \$18,917.00                                                                 & 3                                                                        & \$7,559.00                                                               \\
01157200                                                    & COLORADO SCHOOL OF TRADES                                          & CO             & 802152996                                                     & PROPRIETARY                                                      & 30                                                              & 30                                                                          & \$117,297.00                                                                & 30                                                                       & \$56,480.00                                                              & 35                                                              & 35                                                                          & \$195,947.00                                                                & 36                                                                       & \$97,974.00                                                              & 5                                                               & 6                                                                           & \$65,150.00                                                                 & 6                                                                        & \$32,575.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01267000                                                    & BEL - REA INSTITUTE OF ANIMAL TECHNOLOGY                           & CO             & 802473048                                                     & PROPRIETARY                                                      & 93                                                              & 93                                                                          & \$396,723.00                                                                & 94                                                                       & \$132,495.00                                                             & 97                                                              & 97                                                                          & \$504,623.00                                                                & 98                                                                       & \$175,106.00                                                             & 14                                                              & 15                                                                          & \$119,494.00                                                                & 15                                                                       & \$42,937.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01285000                                                    & INTERNATIONAL SALON AND SPA ACADEMY                                & CO             & 809183684                                                     & PROPRIETARY                                                      & 1                                                               & 1                                                                           & \$3,000.00                                                                  & 1                                                                        & \$3,000.00                                                               & 1                                                               & 1                                                                           & \$2,500.00                                                                  & 1                                                                        & \$2,500.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01300700                                                    & NAZARENE BIBLE COLLEGE                                             & CO             & 809103717                                                     & PRIVATE                                                          & 395                                                             & 405                                                                         & \$1,559,171.00                                                              & 405                                                                      & \$515,681.00                                                             & 304                                                             & 323                                                                         & \$1,266,082.00                                                              & 323                                                                      & \$405,355.00                                                             & 2                                                               & 2                                                                           & \$14,955.00                                                                 & 2                                                                        & \$4,985.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02078900                                                    & ART INSTITUTE OF COLORADO (THE)                                    & CO             & 802032172                                                     & PROPRIETARY                                                      & 832                                                             & 858                                                                         & \$2,982,950.00                                                              & 1,426                                                                    & \$1,858,560.00                                                           & 900                                                             & 918                                                                         & \$4,123,295.00                                                              & 1,529                                                                    & \$2,622,478.00                                                           & 140                                                             & 144                                                                         & \$2,025,742.00                                                              & 239                                                                      & \$1,267,727.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02117500                                                    & NAROPA UNIVERSITY                                                  & CO             & 803026697                                                     & PRIVATE                                                          & 615                                                             & 624                                                                         & \$3,943,700.00                                                              & 625                                                                      & \$2,090,550.00                                                           & 577                                                             & 601                                                                         & \$5,034,676.00                                                              & 602                                                                      & \$2,627,501.00                                                           & 38                                                              & 40                                                                          & \$549,840.00                                                                & 40                                                                       & \$294,300.00                                                             & 65                                                              & 72                                                                          & \$514,845.00                                                                & 72                                                                       & \$269,754.00                                                             \\
02133100                                                    & COLORADO CENTER FOR MEDICAL LABORATORY SCIENCE, THE                & CO             & 802181281                                                     & PRIVATE                                                          & 14                                                              & 14                                                                          & \$74,052.00                                                                 & 15                                                                       & \$39,462.00                                                              & 15                                                              & 15                                                                          & \$94,448.00                                                                 & 16                                                                       & \$48,538.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02156200                                                    & DELTA - MONTROSE TECHNICAL COLLEGE                                 & CO             & 814168705                                                     & PUBLIC                                                           & 23                                                              & 23                                                                          & \$77,126.00                                                                 & 23                                                                       & \$40,688.00                                                              & 20                                                              & 21                                                                          & \$115,000.00                                                                & 21                                                                       & \$58,000.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02165200                                                    & SALON PROFESSIONAL ACADEMY (THE)                                   & CO             & 815045309                                                     & PROPRIETARY                                                      & 18                                                              & 18                                                                          & \$53,429.00                                                                 & 18                                                                       & \$26,042.00                                                              & 11                                                              & 11                                                                          & \$36,631.00                                                                 & 11                                                                       & \$17,317.00                                                              & 3                                                               & 3                                                                           & \$2,985.00                                                                  & 3                                                                        & \$1,494.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02167600                                                    & KAPLAN COLLEGE                                                     & CO             & 802295309                                                     & PROPRIETARY                                                      & 69                                                              & 70                                                                          & \$222,067.00                                                                & 86                                                                       & \$101,672.00                                                             & 68                                                              & 70                                                                          & \$330,626.00                                                                & 87                                                                       & \$149,656.00                                                             & 1                                                               & 1                                                                           & \$8,070.00                                                                  & 2                                                                        & \$5,380.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02188700                                                    & PRINCE INSTITUTE - ROCKY MOUNTAINS                                 & CO             & 800312901                                                     & PROPRIETARY                                                      & 53                                                              & 53                                                                          & \$171,933.00                                                                & 53                                                                       & \$67,717.00                                                              & 53                                                              & 54                                                                          & \$175,822.00                                                                & 54                                                                       & \$69,784.00                                                              & 3                                                               & 3                                                                           & \$5,574.00                                                                  & 3                                                                        & \$2,112.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02321700                                                    & ITT TECHNICAL INSTITUTE                                            & CO             & 802295338                                                     & PROPRIETARY                                                      & 391                                                             & 391                                                                         & \$1,452,092.00                                                              & 395                                                                      & \$519,607.00                                                             & 383                                                             & 383                                                                         & \$2,077,548.00                                                              & 386                                                                      & \$737,996.00                                                             & 39                                                              & 39                                                                          & \$378,738.00                                                                & 39                                                                       & \$127,695.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
