\begin{table}[]
\begin{tabular}{lllllllllll}
            & raw clone size data used for Figure 5a,d, Extended Data Figure 11c,d from ovariectomized BRCA1,P53 confetti mouse model &             &       &             &       &             &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 3           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 8           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 5           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 10          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 10          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 7           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 10          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 20          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 12          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 6           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 11          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 13          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 46          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 5           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 8           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 5           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 6           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 65          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 33          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 460         &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 10          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 8           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 39          &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 8           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 5           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 8           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 7           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         &             &       &             &       & 1           &       &             &       &  \\
