"Per capita sales of food for all purchasers with taxes and tips, by State","","","","","","",""
"(U.S. Dollars)","","","","","","",""
"Year","State","Nominal sales per capita","","Total nominal food sales per capita","Constant-dollar sales per capita (1988=100)","","Total constant-dollar food sales per capita"
"2007","North Dakota","1,800.61","1,377.62","3,178.24","1,082.15","801.10","1,883.25"
"2008","North Dakota","2,012.48","1,458.82","3,471.31","1,136.72","809.93","1,946.64"
"2009","North Dakota","2,011.77","1,516.98","3,528.76","1,125.64","811.91","1,937.55"
"2010","North Dakota","2,069.55","1,601.05","3,670.60","1,152.82","847.59","2,000.41"
"2011","North Dakota","2,166.94","1,737.09","3,904.03","1,152.87","897.00","2,049.87"
"2012","North Dakota","2,404.89","1,900.16","4,305.05","1,246.80","953.48","2,200.27"
"2013","North Dakota","2,473.73","1,941.62","4,415.35","1,275.43","951.32","2,226.76"
"2014","North Dakota","2,531.32","2,041.52","4,572.83","1,273.50","973.37","2,246.87"
"2015","North Dakota","2,413.99","2,100.82","4,514.81","1,207.80","971.95","2,179.75"
"2016","North Dakota","2,359.35","2,110.89","4,470.24","1,196.37","952.25","2,148.62"
"2017","North Dakota","2,415.79","2,207.62","4,623.41","1,229.38","979.51","2,208.89"
"2018","North Dakota","2,472.93","2,298.29","4,771.22","1,258.09","995.93","2,254.02"
"2019","North Dakota","2,480.06","2,363.54","4,843.59","1,255.53","997.55","2,253.08"
"2020","North Dakota","2,525.25","2,123.00","4,648.24","1,242.54","873.78","2,116.32"
"2021","North Dakota","2,756.79","2,652.32","5,409.11","1,311.50","1,038.79","2,350.29"
"2022","North Dakota","2,882.79","2,840.92","5,723.71","1,215.20","1,023.29","2,238.49"
"2023","North Dakota","2,905.80","2,964.65","5,870.45","1,164.17","999.75","2,163.92"
"1997","Ohio","1,193.28","1,045.16","2,238.44","892.44","797.05","1,689.49"
"1998","Ohio","1,206.62","1,082.31","2,288.94","886.29","804.57","1,690.86"
"1999","Ohio","1,270.78","1,115.20","2,385.97","914.17","808.62","1,722.79"
"2000","Ohio","1,330.10","1,170.31","2,500.41","935.21","825.24","1,760.45"
"2001","Ohio","1,372.13","1,189.86","2,561.99","935.62","815.61","1,751.23"
"2002","Ohio","1,397.99","1,226.25","2,624.24","945.97","822.85","1,768.82"
"2003","Ohio","1,564.94","1,282.67","2,847.62","1,044.20","843.90","1,888.10"
"2004","Ohio","1,596.93","1,373.87","2,970.80","1,035.53","877.93","1,913.47"
"2005","Ohio","1,725.11","1,439.11","3,164.22","1,095.20","889.26","1,984.46"
"2006","Ohio","1,785.15","1,492.45","3,277.60","1,115.48","897.75","2,013.23"
"2007","Ohio","1,865.67","1,532.88","3,398.55","1,121.25","891.38","2,012.63"
"2008","Ohio","2,024.01","1,553.55","3,577.56","1,143.23","862.52","2,005.74"
"2009","Ohio","1,982.53","1,530.34","3,512.88","1,109.28","819.06","1,928.34"
"2010","Ohio","2,046.98","1,580.45","3,627.43","1,140.25","836.68","1,976.93"
"2011","Ohio","2,151.57","1,673.57","3,825.14","1,144.69","864.20","2,008.89"
"2012","Ohio","2,329.87","1,776.55","4,106.42","1,207.90","891.45","2,099.35"
"2013","Ohio","2,294.52","1,866.42","4,160.94","1,183.03","914.48","2,097.51"
"2014","Ohio","2,300.27","1,976.13","4,276.40","1,157.26","942.19","2,099.46"
"2015","Ohio","2,262.00","2,122.76","4,384.76","1,131.76","982.09","2,113.85"
"2016","Ohio","2,253.76","2,231.68","4,485.45","1,142.83","1,006.73","2,149.57"
"2017","Ohio","2,291.66","2,354.78","4,646.44","1,166.21","1,044.81","2,211.02"
"2018","Ohio","2,354.96","2,453.84","4,808.79","1,198.07","1,063.34","2,261.41"
"2019","Ohio","2,381.64","2,543.30","4,924.94","1,205.71","1,073.42","2,279.13"
"2020","Ohio","2,491.91","2,267.98","4,759.89","1,226.13","933.45","2,159.58"
"2021","Ohio","2,639.88","2,812.74","5,452.62","1,255.88","1,101.62","2,357.50"
"2022","Ohio","2,762.25","3,127.12","5,889.37","1,164.39","1,126.38","2,290.77"
"2023","Ohio","2,761.83","3,323.47","6,085.29","1,106.49","1,120.76","2,227.25"
"1997","Oklahoma","1,161.75","931.61","2,093.35","864.02","715.36","1,579.38"
"1998","Oklahoma","1,177.28","951.25","2,128.52","862.79","711.69","1,574.48"
"1999","Oklahoma","1,217.16","1,002.37","2,219.53","878.09","732.04","1,610.13"
"2000","Oklahoma","1,240.59","1,055.34","2,295.93","871.58","753.64","1,625.22"
"2001","Oklahoma","1,285.40","1,091.76","2,377.17","877.96","759.27","1,637.24"
"2002","Oklahoma","1,276.99","1,122.46","2,399.45","861.02","763.27","1,624.29"
"2003","Oklahoma","1,344.87","1,156.85","2,501.72","887.61","768.31","1,655.92"
"2004","Oklahoma","1,434.96","1,215.97","2,650.94","911.15","783.34","1,694.49"
"2005","Oklahoma","1,550.60","1,275.66","2,826.26","964.95","798.67","1,763.62"
"2006","Oklahoma","1,631.19","1,332.32","2,963.50","995.78","809.31","1,805.09"
"2007","Oklahoma","1,691.85","1,360.72","3,052.57","991.25","799.26","1,790.50"
"2008","Oklahoma","1,778.82","1,410.62","3,189.44","976.54","792.11","1,768.65"
"2009","Oklahoma","1,740.03","1,420.76","3,160.80","948.03","769.86","1,717.88"
"2010","Oklahoma","1,780.45","1,439.24","3,219.69","964.37","770.05","1,734.42"
"2011","Oklahoma","1,849.50","1,536.40","3,385.90","952.99","804.15","1,757.14"
"2012","Oklahoma","2,026.26","1,628.83","3,655.09","1,016.60","829.70","1,846.30"
"2013","Oklahoma","2,029.71","1,711.05","3,740.75","1,006.37","852.02","1,858.39"
"2014","Oklahoma","2,086.77","1,828.74","3,915.52","1,010.05","889.68","1,899.73"
"2015","Oklahoma","2,096.30","1,982.24","4,078.54","1,004.30","935.80","1,940.09"
"2016","Oklahoma","2,108.78","2,077.01","4,185.78","1,024.83","961.32","1,986.15"
"2017","Oklahoma","2,161.83","2,189.67","4,351.51","1,052.96","993.46","2,046.42"
"2018","Oklahoma","2,217.84","2,305.57","4,523.41","1,077.01","1,024.43","2,101.44"
"2019","Oklahoma","2,237.00","2,418.61","4,655.61","1,078.89","1,042.60","2,121.49"
"2020","Oklahoma","2,451.02","2,349.86","4,800.88","1,141.93","986.04","2,127.97"
"2021","Oklahoma","2,645.89","2,834.38","5,480.27","1,191.78","1,145.07","2,336.86"
"2022","Oklahoma","2,698.77","2,983.39","5,682.16","1,091.42","1,118.36","2,209.78"
"2023","Oklahoma","2,745.44","3,132.21","5,877.65","1,053.97","1,096.17","2,150.14"
"1997","Oregon","1,495.04","1,067.25","2,562.28","1,068.93","832.94","1,901.87"
"1998","Oregon","1,502.21","1,097.85","2,600.07","1,042.06","834.53","1,876.59"
"1999","Oregon","1,573.38","1,128.39","2,701.78","1,069.75","839.64","1,909.39"
"2000","Oregon","1,595.21","1,172.36","2,767.57","1,062.86","853.27","1,916.13"
"2001","Oregon","1,667.46","1,208.60","2,876.06","1,066.44","852.71","1,919.15"
"2002","Oregon","1,699.26","1,236.57","2,935.83","1,066.85","844.59","1,911.44"
"2003","Oregon","1,780.15","1,294.60","3,074.75","1,088.28","867.41","1,955.69"
"2004","Oregon","1,898.94","1,379.33","3,278.28","1,119.17","896.61","2,015.78"
"2005","Oregon","2,006.64","1,456.53","3,463.16","1,171.97","914.05","2,086.01"
"2006","Oregon","2,108.68","1,546.34","3,655.02","1,216.91","942.75","2,159.66"
"2007","Oregon","2,218.36","1,638.74","3,857.10","1,222.64","964.52","2,187.15"
"2008","Oregon","2,344.11","1,662.54","4,006.65","1,216.87","942.67","2,159.54"
"2009","Oregon","2,268.74","1,563.64","3,832.37","1,186.38","859.80","2,046.18"
"2010","Oregon","2,345.01","1,586.68","3,931.69","1,233.67","862.35","2,096.02"
"2011","Oregon","2,457.63","1,660.60","4,118.23","1,232.68","882.72","2,115.39"
"2012","Oregon","2,687.88","1,744.53","4,432.41","1,324.28","899.80","2,224.07"
"2013","Oregon","2,687.01","1,870.86","4,557.87","1,312.10","945.05","2,257.15"
"2014","Oregon","2,733.26","2,032.57","4,765.83","1,298.43","1,001.98","2,300.42"
"2015","Oregon","2,736.82","2,243.01","4,979.83","1,278.69","1,074.83","2,353.52"
"2016","Oregon","2,701.32","2,379.10","5,080.42","1,276.77","1,103.81","2,380.57"
"2017","Oregon","2,781.64","2,553.00","5,334.64","1,318.81","1,146.90","2,465.71"
"2018","Oregon","2,849.62","2,692.45","5,542.06","1,345.16","1,169.69","2,514.85"
"2019","Oregon","2,959.28","2,815.67","5,774.95","1,375.95","1,181.23","2,557.18"
"2020","Oregon","3,182.56","2,407.21","5,589.77","1,423.02","965.64","2,388.66"
"2021","Oregon","3,452.32","3,000.44","6,452.76","1,479.13","1,147.65","2,626.78"
"2022","Oregon","3,886.11","3,498.82","7,384.92","1,494.54","1,247.41","2,741.95"
"2023","Oregon","3,990.94","3,917.62","7,908.57","1,466.97","1,299.87","2,766.84"
"1997","Pennsylvania","1,409.92","875.15","2,285.07","1,040.82","693.10","1,733.92"
"1998","Pennsylvania","1,399.04","915.41","2,314.45","1,017.64","707.26","1,724.90"
"1999","Pennsylvania","1,468.85","965.23","2,434.08","1,046.04","724.92","1,770.97"
"2000","Pennsylvania","1,469.12","1,004.54","2,473.66","1,029.60","738.65","1,768.24"
"2001","Pennsylvania","1,505.90","1,042.21","2,548.12","1,022.84","744.27","1,767.11"
"2002","Pennsylvania","1,543.86","1,091.88","2,635.74","1,037.38","760.83","1,798.20"
"2003","Pennsylvania","1,607.06","1,139.50","2,746.56","1,055.99","777.71","1,833.70"
"2004","Pennsylvania","1,707.48","1,200.12","2,907.59","1,074.51","797.55","1,872.06"
"2005","Pennsylvania","1,760.33","1,266.87","3,027.20","1,079.23","818.67","1,897.90"
"2006","Pennsylvania","1,806.44","1,331.40","3,137.84","1,082.95","830.24","1,913.19"
"2007","Pennsylvania","1,870.27","1,395.97","3,266.23","1,079.09","835.26","1,914.35"
"2008","Pennsylvania","1,937.81","1,425.53","3,363.34","1,052.83","816.28","1,869.11"
"2009","Pennsylvania","1,898.82","1,401.08","3,299.90","1,021.56","775.85","1,797.41"
"2010","Pennsylvania","1,929.37","1,436.08","3,365.46","1,028.27","783.03","1,811.30"
"2011","Pennsylvania","1,993.35","1,510.82","3,504.17","1,018.54","804.05","1,822.59"
"2012","Pennsylvania","2,089.46","1,586.45","3,675.91","1,039.17","822.24","1,861.41"
"2013","Pennsylvania","2,076.30","1,659.05","3,735.34","1,024.07","845.62","1,869.69"
"2014","Pennsylvania","2,119.70","1,762.68","3,882.37","1,027.93","879.07","1,907.00"
"2015","Pennsylvania","2,132.04","1,895.43","4,027.48","1,019.85","923.80","1,943.65"
"2016","Pennsylvania","2,146.23","2,006.05","4,152.27","1,040.55","952.36","1,992.90"
"2017","Pennsylvania","2,170.57","2,135.12","4,305.70","1,050.72","990.33","2,041.05"
"2018","Pennsylvania","2,262.63","2,236.40","4,499.03","1,081.94","1,009.43","2,091.37"
"2019","Pennsylvania","2,325.95","2,337.96","4,663.92","1,103.39","1,025.85","2,129.24"
"2020","Pennsylvania","2,403.79","1,920.92","4,324.71","1,102.53","813.44","1,915.97"
"2021","Pennsylvania","2,590.22","2,440.36","5,030.58","1,160.79","986.42","2,147.21"
"2022","Pennsylvania","2,840.25","2,833.94","5,674.18","1,155.84","1,071.71","2,227.55"
"2023","Pennsylvania","2,917.95","3,119.27","6,037.22","1,133.27","1,103.81","2,237.08"
"1997","Rhode Island","892.49","1,158.65","2,051.14","658.85","917.63","1,576.47"
"1998","Rhode Island","940.49","1,213.41","2,153.90","684.10","937.50","1,621.60"
"1999","Rhode Island","1,018.57","1,309.00","2,327.56","725.37","983.11","1,708.48"
"2000","Rhode Island","1,045.45","1,360.48","2,405.93","732.68","1,000.37","1,733.05"
"2001","Rhode Island","1,171.81","1,402.84","2,574.65","795.92","1,001.80","1,797.72"
"2002","Rhode Island","1,248.27","1,483.56","2,731.83","838.76","1,033.75","1,872.51"
"2003","Rhode Island","1,294.42","1,555.00","2,849.42","850.56","1,061.30","1,911.85"
"2004","Rhode Island","1,356.24","1,632.50","2,988.74","853.48","1,084.90","1,938.38"
"2005","Rhode Island","1,414.16","1,680.08","3,094.25","867.00","1,085.70","1,952.70"
"2006","Rhode Island","1,468.43","1,730.45","3,198.88","880.32","1,079.07","1,959.39"
"2007","Rhode Island","1,751.23","1,800.69","3,551.92","1,010.41","1,077.41","2,087.83"
"2008","Rhode Island","1,765.05","1,841.38","3,606.43","958.96","1,054.41","2,013.37"
"2009","Rhode Island","1,694.46","1,805.48","3,499.94","911.61","999.79","1,911.40"
"2010","Rhode Island","1,686.11","1,873.47","3,559.58","898.62","1,021.52","1,920.14"
"2011","Rhode Island","1,743.98","1,975.97","3,719.95","891.12","1,051.60","1,942.72"
"2012","Rhode Island","1,861.89","2,110.42","3,972.30","925.99","1,093.80","2,019.79"
"2013","Rhode Island","1,926.45","2,230.41","4,156.87","950.17","1,136.84","2,087.01"
"2014","Rhode Island","2,029.16","2,423.46","4,452.62","984.03","1,208.62","2,192.64"
"2015","Rhode Island","2,089.59","2,635.66","4,725.25","999.54","1,284.57","2,284.11"
"2016","Rhode Island","2,167.54","2,791.50","4,959.05","1,050.88","1,325.25","2,376.13"
"2017","Rhode Island","2,261.60","2,990.24","5,251.84","1,094.79","1,386.96","2,481.75"
"2018","Rhode Island","2,345.97","3,147.05","5,493.02","1,121.80","1,420.46","2,542.25"
"2019","Rhode Island","2,418.76","3,299.34","5,718.10","1,147.41","1,447.68","2,595.10"
"2020","Rhode Island","2,424.75","2,664.54","5,089.29","1,112.14","1,128.34","2,240.48"
"2021","Rhode Island","2,670.37","3,535.83","6,206.21","1,196.71","1,429.23","2,625.93"
"2022","Rhode Island","3,069.02","4,123.82","7,192.84","1,248.94","1,559.50","2,808.44"
"2023","Rhode Island","3,163.50","4,477.76","7,641.25","1,228.64","1,584.54","2,813.18"
"1997","South Carolina","1,692.77","1,042.05","2,734.82","1,258.95","800.17","2,059.12"
"1998","South Carolina","1,644.89","1,096.89","2,741.77","1,205.48","820.65","2,026.14"
"1999","South Carolina","1,658.47","1,180.98","2,839.44","1,196.46","862.48","2,058.94"
"2000","South Carolina","1,652.02","1,233.54","2,885.56","1,160.64","880.89","2,041.53"
"2001","South Carolina","1,672.90","1,273.03","2,945.93","1,142.64","885.33","2,027.97"
"2002","South Carolina","1,672.74","1,334.85","3,007.59","1,127.86","907.70","2,035.56"
"2003","South Carolina","1,692.59","1,399.30","3,091.89","1,117.11","929.33","2,046.43"
"2004","South Carolina","1,784.45","1,483.11","3,267.56","1,133.06","955.44","2,088.50"
"2005","South Carolina","1,881.96","1,543.58","3,425.54","1,171.15","966.42","2,137.57"
"2006","South Carolina","1,928.30","1,610.60","3,538.89","1,177.16","978.35","2,155.51"
"2007","South Carolina","1,985.26","1,678.60","3,663.86","1,163.15","985.98","2,149.13"
"2008","South Carolina","1,994.90","1,707.00","3,701.90","1,095.16","958.53","2,053.70"
"2009","South Carolina","1,930.71","1,646.82","3,577.52","1,051.91","892.35","1,944.26"
"2010","South Carolina","1,975.88","1,674.85","3,650.74","1,070.22","896.12","1,966.34"
"2011","South Carolina","2,046.39","1,760.01","3,806.40","1,054.44","921.19","1,975.63"
"2012","South Carolina","2,117.74","1,848.02","3,965.76","1,062.50","941.35","2,003.85"
"2013","South Carolina","2,132.51","1,942.37","4,074.88","1,057.34","967.21","2,024.55"
"2014","South Carolina","2,224.79","2,080.26","4,305.04","1,076.85","1,012.04","2,088.89"
"2015","South Carolina","2,210.04","2,263.08","4,473.12","1,058.78","1,068.38","2,127.16"
"2016","South Carolina","2,215.26","2,391.03","4,606.29","1,076.58","1,106.66","2,183.24"
"2017","South Carolina","2,274.52","2,528.81","4,803.34","1,107.84","1,147.33","2,255.18"
"2018","South Carolina","2,375.00","2,678.32","5,053.31","1,153.33","1,190.05","2,343.38"
"2019","South Carolina","2,426.61","2,795.31","5,221.92","1,170.34","1,204.99","2,375.33"
"2020","South Carolina","2,642.81","2,691.28","5,334.08","1,231.28","1,129.30","2,360.59"
"2021","South Carolina","2,796.35","3,286.09","6,082.45","1,259.56","1,327.56","2,587.12"
"2022","South Carolina","2,900.40","3,583.05","6,483.46","1,172.96","1,343.16","2,516.11"
"2023","South Carolina","2,919.32","3,799.39","6,718.71","1,120.72","1,329.67","2,450.38"
"1997","South Dakota","1,397.40","908.40","2,305.80","1,045.10","692.76","1,737.86"
"1998","South Dakota","1,410.97","953.86","2,364.84","1,036.39","709.08","1,745.48"
"1999","South Dakota","1,456.84","994.27","2,451.11","1,048.02","720.94","1,768.95"
"2000","South Dakota","1,492.35","1,053.01","2,545.36","1,049.29","742.53","1,791.82"
"2001","South Dakota","1,589.11","1,114.89","2,704.00","1,083.57","764.22","1,847.79"
"2002","South Dakota","1,590.96","1,165.02","2,755.98","1,076.54","781.76","1,858.30"
"2003","South Dakota","1,647.53","1,212.12","2,859.65","1,099.31","797.48","1,896.79"
"2004","South Dakota","1,732.84","1,283.27","3,016.11","1,123.66","820.04","1,943.70"
"2005","South Dakota","1,870.86","1,337.86","3,208.72","1,187.73","826.69","2,014.43"
"2006","South Dakota","1,928.77","1,407.65","3,336.42","1,205.22","846.74","2,051.96"
"2007","South Dakota","2,015.90","1,436.02","3,451.93","1,211.54","835.06","2,046.60"
"2008","South Dakota","2,098.64","1,477.45","3,576.09","1,185.38","820.27","2,005.65"
"2009","South Dakota","2,084.57","1,476.96","3,561.53","1,166.37","790.49","1,956.86"
"2010","South Dakota","2,128.20","1,505.19","3,633.39","1,185.49","796.84","1,982.33"
"2011","South Dakota","2,240.92","1,576.49","3,817.41","1,192.23","814.07","2,006.30"
"2012","South Dakota","2,396.60","1,650.96","4,047.56","1,242.50","828.43","2,070.93"
"2013","South Dakota","2,364.87","1,720.44","4,085.31","1,219.30","842.96","2,062.26"
"2014","South Dakota","2,389.09","1,835.49","4,224.58","1,201.95","875.14","2,077.09"
"2015","South Dakota","2,382.16","1,973.88","4,356.04","1,191.88","913.21","2,105.09"
"2016","South Dakota","2,442.51","2,080.63","4,523.14","1,238.54","938.59","2,177.14"
"2017","South Dakota","2,472.92","2,194.46","4,667.38","1,258.45","973.67","2,232.13"
"2018","South Dakota","2,470.40","2,259.10","4,729.49","1,256.80","978.95","2,235.75"
"2019","South Dakota","2,466.31","2,311.53","4,777.83","1,248.57","975.60","2,224.17"
"2020","South Dakota","2,555.42","2,133.67","4,689.09","1,257.38","878.17","2,135.55"
"2021","South Dakota","2,771.14","2,702.36","5,473.50","1,318.32","1,058.39","2,376.71"
"2022","South Dakota","2,846.13","2,941.99","5,788.12","1,199.74","1,059.70","2,259.44"
"2023","South Dakota","2,862.96","3,117.44","5,980.40","1,147.01","1,051.28","2,198.28"
"1997","Tennessee","990.56","1,068.08","2,058.64","736.70","820.16","1,556.86"
"1998","Tennessee","1,191.58","1,104.35","2,295.93","873.27","826.24","1,699.51"
"1999","Tennessee","1,276.29","1,138.58","2,414.87","920.75","831.52","1,752.27"
"2000","Tennessee","1,278.02","1,188.26","2,466.27","897.88","848.56","1,746.43"
"2001","Tennessee","1,355.99","1,225.23","2,581.22","926.18","852.09","1,778.27"
"2002","Tennessee","1,467.28","1,274.35","2,741.63","989.32","866.56","1,855.88"
"2003","Tennessee","1,508.57","1,357.42","2,865.99","995.66","901.51","1,897.17"
"2004","Tennessee","1,584.77","1,438.01","3,022.79","1,006.28","926.38","1,932.66"
"2005","Tennessee","1,659.29","1,511.81","3,171.10","1,032.59","946.52","1,979.11"
"2006","Tennessee","1,736.63","1,583.69","3,320.32","1,060.15","962.01","2,022.16"
"2007","Tennessee","1,844.03","1,631.22","3,475.26","1,080.41","958.15","2,038.55"
"2008","Tennessee","1,925.13","1,646.94","3,572.07","1,056.86","924.81","1,981.67"
"2009","Tennessee","1,902.50","1,596.95","3,499.46","1,036.55","865.33","1,901.87"
"2010","Tennessee","1,960.17","1,634.41","3,594.58","1,061.71","874.48","1,936.19"
"2011","Tennessee","2,051.09","1,727.01","3,778.09","1,056.86","903.92","1,960.78"
"2012","Tennessee","2,168.11","1,835.04","4,003.16","1,087.77","934.74","2,022.51"
"2013","Tennessee","2,154.80","1,947.06","4,101.86","1,068.40","969.54","2,037.94"
"2014","Tennessee","2,197.06","2,100.55","4,297.61","1,063.43","1,021.91","2,085.34"
"2015","Tennessee","2,157.40","2,285.02","4,442.42","1,033.57","1,078.73","2,112.30"
"2016","Tennessee","2,190.64","2,432.93","4,623.57","1,064.61","1,126.06","2,190.67"
"2017","Tennessee","2,162.69","2,578.16","4,740.85","1,053.37","1,169.72","2,223.09"
"2018","Tennessee","2,217.45","2,692.83","4,910.27","1,076.82","1,196.49","2,273.32"
"2019","Tennessee","2,284.09","2,838.38","5,122.46","1,101.60","1,223.55","2,325.15"
"2020","Tennessee","2,759.16","2,607.15","5,366.31","1,285.49","1,094.00","2,379.50"
"2021","Tennessee","2,937.81","3,170.85","6,108.66","1,323.28","1,281.00","2,604.28"
"2022","Tennessee","3,092.07","3,498.71","6,590.79","1,250.47","1,311.54","2,562.01"
"2023","Tennessee","3,139.84","3,760.44","6,900.27","1,205.37","1,316.03","2,521.41"
"1997","Texas","1,522.59","1,097.78","2,620.37","1,132.38","842.96","1,975.35"
"1998","Texas","1,529.83","1,155.46","2,685.29","1,121.16","864.48","1,985.64"
"1999","Texas","1,599.17","1,201.75","2,800.92","1,153.68","877.65","2,031.33"
"2000","Texas","1,617.84","1,251.69","2,869.53","1,136.62","893.85","2,030.47"
"2001","Texas","1,690.96","1,285.34","2,976.30","1,154.97","893.90","2,048.87"
"2002","Texas","1,670.52","1,319.55","2,990.07","1,126.36","897.29","2,023.65"
"2003","Texas","1,657.14","1,367.29","3,024.43","1,093.71","908.06","2,001.78"
"2004","Texas","1,716.30","1,435.29","3,151.59","1,089.79","924.63","2,014.42"
"2005","Texas","1,790.36","1,492.48","3,282.85","1,114.15","934.42","2,048.58"
"2006","Texas","1,833.07","1,564.17","3,397.23","1,119.02","950.14","2,069.17"
"2007","Texas","1,894.14","1,639.58","3,533.72","1,109.76","963.06","2,072.82"
"2008","Texas","1,984.83","1,698.27","3,683.10","1,089.64","953.63","2,043.27"
"2009","Texas","1,953.76","1,688.22","3,641.98","1,064.47","914.78","1,979.25"
"2010","Texas","1,989.87","1,709.06","3,698.93","1,077.80","914.42","1,992.22"
"2011","Texas","2,085.34","1,819.43","3,904.77","1,074.51","952.29","2,026.80"
"2012","Texas","2,215.75","1,929.51","4,145.26","1,111.67","982.86","2,094.54"
"2013","Texas","2,257.63","2,051.25","4,308.88","1,119.38","1,021.43","2,140.81"
"2014","Texas","2,327.69","2,197.15","4,524.84","1,126.66","1,068.91","2,195.57"
"2015","Texas","2,319.24","2,379.61","4,698.85","1,111.10","1,123.39","2,234.49"
"2016","Texas","2,343.30","2,516.58","4,859.89","1,138.81","1,164.77","2,303.58"
"2017","Texas","2,415.56","2,655.49","5,071.04","1,176.54","1,204.80","2,381.34"
"2018","Texas","2,480.25","2,778.36","5,258.61","1,204.44","1,234.50","2,438.95"
"2019","Texas","2,539.31","2,920.24","5,459.54","1,224.70","1,258.84","2,483.53"
"2020","Texas","2,757.54","2,688.17","5,445.70","1,284.74","1,128.00","2,412.74"
"2021","Texas","2,962.86","3,334.67","6,297.52","1,334.56","1,347.19","2,681.74"
"2022","Texas","3,211.52","3,728.92","6,940.45","1,298.78","1,397.84","2,696.61"
"2023","Texas","3,288.32","3,995.66","7,283.98","1,262.38","1,398.35","2,660.73"
"1997","Utah","1,641.72","972.77","2,614.49","1,173.81","759.21","1,933.01"
"1998","Utah","1,641.98","1,008.85","2,650.83","1,139.02","766.88","1,905.89"
"1999","Utah","1,696.12","1,033.27","2,729.39","1,153.20","768.85","1,922.06"
"2000","Utah","1,642.67","1,056.02","2,698.69","1,094.49","768.60","1,863.08"
"2001","Utah","1,665.42","1,083.34","2,748.76","1,065.14","764.34","1,829.47"
"2002","Utah","1,638.27","1,118.67","2,756.94","1,028.56","764.07","1,792.62"
"2003","Utah","1,749.07","1,149.57","2,898.64","1,069.28","770.24","1,839.52"
"2004","Utah","1,916.30","1,216.57","3,132.87","1,129.40","790.81","1,920.21"
"2005","Utah","2,021.72","1,253.21","3,274.93","1,180.78","786.45","1,967.23"
"2006","Utah","2,164.73","1,309.45","3,474.18","1,249.25","798.33","2,047.59"
"2007","Utah","2,292.52","1,365.97","3,658.49","1,263.51","803.97","2,067.48"
"2008","Utah","2,385.76","1,401.93","3,787.69","1,238.49","794.90","2,033.39"
"2009","Utah","2,299.78","1,350.63","3,650.41","1,202.61","742.68","1,945.29"
"2010","Utah","2,245.03","1,369.44","3,614.47","1,181.07","744.29","1,925.36"
"2011","Utah","2,285.56","1,446.05","3,731.61","1,146.38","768.67","1,915.04"
"2012","Utah","2,429.96","1,534.03","3,963.99","1,197.20","791.23","1,988.43"
"2013","Utah","2,385.16","1,646.47","4,031.63","1,164.70","831.71","1,996.41"
"2014","Utah","2,408.16","1,784.64","4,192.79","1,143.99","879.76","2,023.76"
"2015","Utah","2,450.13","1,955.08","4,405.21","1,144.74","936.85","2,081.60"
"2016","Utah","2,502.15","2,067.07","4,569.22","1,182.63","959.04","2,141.67"
"2017","Utah","2,658.40","2,201.17","4,859.57","1,260.38","988.85","2,249.22"
"2018","Utah","2,743.49","2,349.38","5,092.87","1,295.06","1,020.65","2,315.72"
"2019","Utah","2,865.31","2,484.32","5,349.63","1,332.26","1,042.22","2,374.48"
"2020","Utah","3,046.98","2,360.43","5,407.41","1,362.40","946.87","2,309.27"
"2021","Utah","3,360.17","2,926.80","6,286.97","1,439.65","1,119.48","2,559.13"
"2022","Utah","3,777.36","3,258.69","7,036.05","1,452.72","1,161.79","2,614.52"
"2023","Utah","3,963.04","3,564.83","7,527.87","1,456.72","1,182.81","2,639.52"
"1997","Vermont","1,541.36","1,017.99","2,559.36","1,137.86","806.23","1,944.09"
"1998","Vermont","1,562.31","1,047.20","2,609.51","1,136.40","809.08","1,945.48"
"1999","Vermont","1,621.23","1,084.75","2,705.99","1,154.56","814.69","1,969.25"
"2000","Vermont","1,630.13","1,121.80","2,751.92","1,142.43","824.87","1,967.30"
"2001","Vermont","1,675.70","1,188.36","2,864.06","1,138.17","848.64","1,986.81"
"2002","Vermont","1,740.95","1,219.36","2,960.31","1,169.81","849.65","2,019.46"
"2003","Vermont","1,769.96","1,244.10","3,014.06","1,163.03","849.10","2,012.14"
"2004","Vermont","1,834.19","1,316.26","3,150.45","1,154.25","874.74","2,028.99"
"2005","Vermont","1,934.01","1,351.68","3,285.69","1,185.71","873.48","2,059.19"
"2006","Vermont","2,032.27","1,412.07","3,444.34","1,218.34","880.54","2,098.88"
"2007","Vermont","2,099.00","1,435.67","3,534.67","1,211.07","859.01","2,070.08"
"2008","Vermont","2,243.83","1,459.26","3,703.10","1,219.09","835.60","2,054.69"
"2009","Vermont","2,172.47","1,433.31","3,605.78","1,168.77","793.70","1,962.48"
"2010","Vermont","2,166.40","1,502.41","3,668.81","1,154.59","819.20","1,973.79"
"2011","Vermont","2,259.76","1,580.28","3,840.04","1,154.67","841.01","1,995.68"
"2012","Vermont","2,273.97","1,687.65","3,961.62","1,130.93","874.69","2,005.62"
"2013","Vermont","2,318.28","1,811.52","4,129.79","1,143.42","923.33","2,066.75"
"2014","Vermont","2,429.80","1,989.79","4,419.60","1,178.31","992.34","2,170.66"
"2015","Vermont","2,456.74","2,185.93","4,642.67","1,175.16","1,065.38","2,240.54"
"2016","Vermont","2,548.83","2,341.07","4,889.90","1,235.74","1,111.41","2,347.15"
"2017","Vermont","2,630.19","2,542.16","5,172.35","1,273.21","1,179.13","2,452.34"
